"kommunenr_2024","år","y2s_predikert","y2s_nedre","y2s_ovre","n_bootstrap_ok"
"1101",2037,219.846574866438,207.463658043983,254.827162338106,60
"1101",2038,225.957216608104,211.629079808641,266.891689344572,60
"1101",2039,232.27611936097,215.92382329734,279.472052387361,60
"1101",2040,238.453310647689,220.114903366647,291.823694385291,60
"1101",2041,245.146223902502,224.634484758771,305.362331963655,60
"1101",2042,253.148590721444,229.998669191665,321.858110540847,60
"1101",2043,261.824211428377,235.780690103065,339.994028235177,60
"1101",2044,269.397498773419,240.835136053027,355.769739066441,60
"1101",2045,276.607739744478,245.642699597529,370.805295236452,60
"1101",2046,284.262230136484,250.726481509072,386.920288466726,60
"1101",2047,294.171182188747,257.234406767134,408.360208639799,60
"1101",2048,304.052711107329,263.704279631487,429.89813151004,60
"1101",2049,313.382749738356,269.797349560818,450.309402266863,60
"1101",2050,323.672387145032,276.478063156048,473.143493627833,60
"1103",2026,1365.50889349178,1360.61443642855,1374.6993917809,60
"1103",2027,1374.81253702924,1367.35269567644,1389.57134498358,60
"1103",2028,1386.466108318,1375.92146484759,1408.32016220492,60
"1103",2029,1400.76938641795,1386.53785578463,1431.53499767557,60
"1103",2030,1417.97659349694,1399.37865631194,1459.74515860952,60
"1103",2031,1438.42689762124,1414.68147331327,1493.65145524966,60
"1103",2032,1461.22640463056,1431.76972366535,1531.737786029,60
"1103",2033,1487.91057639886,1451.75851015149,1576.90706725101,60
"1103",2034,1517.48032150974,1473.90223631564,1627.4239866024,60
"1103",2035,1550.75532817048,1498.78344261987,1684.93251201945,60
"1103",2036,1588.2786459186,1526.7720689109,1750.63065869552,60
"1103",2037,1626.20593790535,1555.07093812063,1817.24037434399,60
"1103",2038,1669.84218454195,1587.46759811483,1895.21653581738,60
"1103",2039,1715.59970142622,1621.36382293424,1977.70248244741,60
"1103",2040,1764.98326566107,1657.43644976889,2067.77682637164,60
"1103",2041,1818.64378474921,1695.94157838675,2166.95524108022,60
"1103",2042,1870.52059101662,1733.21346161414,2262.89336708084,60
"1103",2043,1929.36801031315,1775.09257446539,2373.68760715466,60
"1103",2044,1992.12936174884,1819.50772216669,2493.25339249563,60
"1103",2045,2057.48632208666,1865.56093043206,2618.9704452642,60
"1103",2046,2126.82564806095,1914.14891983983,2753.92080470255,60
"1103",2047,2196.08074810523,1962.59292771808,2889.41111100718,60
"1103",2048,2269.84727481166,2013.88803500476,3035.49088043732,60
"1103",2049,2349.02356807591,2068.58803543159,3194.38000493148,60
"1103",2050,2432.08113114028,2125.67319491801,3362.92124041708,60
"1106",2026,418.464076191905,416.861459571148,420.297156594625,60
"1106",2027,421.181782960341,418.711522357256,424.177420861264,60
"1106",2028,424.778570675428,421.256450664021,429.422415217573,60
"1106",2029,428.943263950721,424.237277160488,435.622366907191,60
"1106",2030,434.098354767504,427.948256031087,443.42719467811,60
"1106",2031,440.278456869923,432.408959854597,452.890304891594,60
"1106",2032,446.675327086648,437.051025115585,462.754151888098,60
"1106",2033,454.947828402741,443.02023800804,476.105159711507,60
"1106",2034,463.400158204102,449.139470538107,489.776885843725,60
"1106",2035,473.439710478246,456.372037019351,506.365624244251,60
"1106",2036,484.502162290537,464.325564844746,524.752302368067,60
"1106",2037,495.29430740494,472.113417648918,542.620614414502,60
"1106",2038,508.512513424507,481.558272359679,565.144138320053,60
"1106",2039,522.416685845654,491.471742377379,589.05292966243,60
"1106",2040,537.390918208514,502.102512981373,615.139262938408,60
"1106",2041,552.94109696907,513.118642029518,642.446438707403,60
"1106",2042,568.369562317358,524.055074459557,669.577326415425,60
"1106",2043,585.744180505249,536.276403833977,700.732812690273,60
"1106",2044,604.465134165846,549.379390020238,734.758907844165,60
